Reviewer Name,Review Text,Review Date,Star Rating
David Habegger,I’ve been coming here for years whenever I am on the Upper West Side or wanting to have pizza in the park. It was one of my favorite pizza places in the city. …,a month ago,5
ReedH,Pretty solid slice shop on the west side! Maybe a little inconsistent in terms of crispness of the crust - my first slice was absolutely perfect but the second one could have done with a bit more time in the oven. Lots of cheese and pretty good toppings though. I’d come back.,a month ago,4
Hila Cohen,Very good pizza!! Cheese is tasty; very good toppings; crispy and fresh crust. Highly recommended,a month ago,5
Samantha Taranto,Most delicious pizza in New York. I loved the vodka sauce slice and pepperoni slices. The dough is cooked to perfection. The service is also great the staff are all friendly and welcoming with quick service and great prices. Thank you for a delicious meal; can’t wait to go back again.,a year ago,5
Gigi,The pizza is great; we also tried the garlic bread. but the server is not as friendly when my friend ask about the ingredients (she have dietary restrictions). However other than that; they serve a good pizza. And also the place is quite spacy and you can sit in it; in which not all pizza place has a lot of space to sit.,7 months ago,4
Jessica A,We tried two pizza by the slice places while we were in NYC and this one was definitely the better option. It was recommended by one of the locals and she sure knew what she was talking about. …,a year ago,5
Fatemeh Aarabi,Every pizza tastes fantastic here! My favourite are the vodka and the one with artichokes!,a month ago,5
Bryan Stoops,I had a slice of grandma style and a slice of margarita pizza while killing some time on the Upper West Side. I went on a Friday night and lots of times; a few hours after dinner; pizza places are picked over; Made In New York had all kinds …,9 months ago,5
David Cunningham,First or second best slice pizza in the hood.  Price per slice has gotten outrageously high; but I still go back because it’s better than anything else nearby (Mam’a Too is farther from me).  Spicy pepperoni is their signature; but they also have maybe my favorite plain cheese slice in the city.,a month ago,5
Raquel Sennholtz,Stopped in for a pizza on a Saturday night with family. We chose to sit outside. The pizza was fantastic! I loved the crust. The staff was pleasant and I'd go back in a heartbeat!,a week ago,5
Sam M,This is my favorite new pizza find in the city for a good slice! It's better than Joe's and the other big name recognition spots. There is indoor and outdoor seating. They have one tray of toppings for the pizza which usually tourists who …,a year ago,5
Jesse Hirshon,Great taste; quality is there and staff give warm vibes as well. Normally pepperoni is my favorite; took staff recommendation and also tried vodka slice- hard to tell which was better. Try this spot!,a year ago,5
Giulia Cavallo,Best New York pizza for sure! We had to pass by multiple times as we couldn’t get enough of their eggplant square pizza! So delicious!!,5 months ago,5
Eric Ng,Great slice joint close to the museum of natural history. Close to the M79 also. …,8 months ago,5
Ashley Vee,I’ve purchased from this pizza shop before and was highly disappointed one day. During my lunch break I went to get a slice then went back to work to enjoy it. Upon taking a few bites I realized it was molded!!!,8 months ago,2
Alan Varghese,Pretty good standard NY style pizza with a ton of square slices as well. Plenty of options; average prices; indoor and outdoor seating and  as well. …,a year ago,5
Ricardo Herrera,Amazing pizza; recommended if you want to enjoy a pizza slice and a beer.,4 months ago,5
A.L. Harris,My absolute favorite late night pizza place.  Open until 11 on weekdays and 1 on weekends. Perfect place for a late night slice on your way home.  Everything’s fresh and made with high end ingredients.  Plenty of choices.  There are a few of these in the city but this one’s the best. A few tables outside too.,a year ago,5
Kosha Singh,Amazing pizza and garlic bread…. It was a door dash order and we were thrilled with how amazing this simple pizza can be.,7 months ago,5
Joanna Roemhild,Delicious pizza by the slice or whole. Great selection. REASONABLE prices. Great assortment of 16 ounce beers; wine by the glass or bottle. Great budget way to go for a meal if on the upper west side.,7 months ago,5
Lazaros Simeon,Nice place. Good number of tables. Clean dining area and toilets. Staff were friendly and patient with out-of-towners unfamiliar with NYC-style pizza. The pizza itself was really good; really nice sauce; wide selection. I had plain cheese; …,2 months ago,5
Paolo Maselli,Really really good slices! Their plain slice was damn near perfect NY style: Warm; crispy; perfect balance of cheese and sauce. The square slice was awesome too!,a month ago,5
Sean Ryan,Lived up to the hype; Best mushroom sliced; I ever had; they sautéed them in garlic first and really nailed it. Top to bottom first class slices,3 weeks ago,5
Mer P,Wow! Love this neighborhood spot. It’s consistently full and the pizza is great. For me; the Sicilian slices are better than the regular. They are crispy on the outside on all sides and then nice and chewy and fluffy on the inside. Tomato sauce is tangy and sharp - not too sweet and tastes fresh!,a year ago,5
Anita Yoder,Fantastic pizza! Great service. Good value. Would definitely come again!,2 weeks ago,5
Triple R,During our vacation in NY; I had to have a NY pizza. What better place to get one other than “Made in New York Pizza” ?!? We got a cheese; pepperoni & square (onions & mushrooms) pizza…along with some …,2 years ago,5
Bev Reno,Best pizza ever! The New York pizza had loads of cheese. The eggplant pizza was phenomenal! So tasty!!,4 months ago,5
Saddmun Ahsan,Okay spot. I think the price doesn't match the quality or the taste of the pizza. The square pizza was a total bust and the margherita was average at best - not something I'd pay $4.50 / slice. …,4 months ago,3
Ed Jalinske,This is now my new go-to pizza place. Everything is good. Even the fountain soda. I would have taken a picture of my corner Sicilian slice but alas I ate it very quickly. Therefore; I leave you with a picture of an empty plate and used napkin. Eat here. Thank me later. Cheers!,a year ago,5
Rob H.,This is one of our favorite pizza places we really like the cheese slices and the sausage and pepperoni slice as well as the pepperoni square is really good with the spicy pepperoni on it. This is the shop on 80th and Amsterdam there’s …,2 years ago,5
Craig Sargent,Best pizza I’ve ever had.,2 weeks ago,5
Kam Olfert,Ok- this is very good pizza. I eat a lot; and this spicy pepperoni is top 5 pizza I’ve ever eaten. Delish!!!,a week ago,5
Alex,I will let the pictures talks by itself…i dont appreciate paying premium for a thin burned crust pizza…,4 months ago,
叶晨丰,Great place to dine in at and great pizza. The pizza here is a lot different than the ones I eat from dominos here but the con is that the average full pie is around $30 each; which is something I’m not used too. …,a year ago,5
Lizbeth Juarez,I tried several different pizza places during my visit to New York and this place was the best by far. I had the Margharita Pizza and the Classic pepperoni. The crust was crispy; the cheese had some good stretch; the flavors were great. It was nice to also have a sit down experience inside.,4 months ago,5
Tanvi Vartak,Alka Vodka Pizza is just great! Very tasty pizza and super helpful staff! Best to pair with wine and there’s a shop right next door!,a month ago,5
Maitri Bhandari,This is one of the best New York slices that I have tried. The crust is so airy and crispy; unlike those heavy slices that you get around the city which make you go heavy on your stomach. …,a year ago,5
Santiago German Perrone,Great pizza; fair prices considering other places. The downside was that there were some rats outside the store; walking through the tables; it was disgusting and we had to move inside the store to have dinner.,a year ago,3
Michelle Rivera,Amazing garlic knots & pizza; highly recommended! Quick service as well!,6 months ago,5
Michele Guttermuth,Got a couple of pies from this place to go. The customer service was pretty good and the pies delicious. Ordered buff chick; cheese; pepperoni; spinach; and grandmas (Sicilian- only 8 slices). All the pizzas were delicious; and I loved …,a year ago,4
Heidi Soper,If you're looking for a quick; but yummy place to try out NY pizza; this is the place to go! We got garlic knots; slice of pepperoni and cheese. The dough was so yummy and they heated it all up in a wood fired oven; so it was very fresh! We …,a year ago,5
Jose Delgado,Excellent Pizza by the slice with many options. Pizza has a delicious crust that snaps at every bite. Cheese and sauce are well balanced and the toppings are generous. Would be 5 stars but the AC was not working well; tables were dirty and the soda machine was low on ice. Otherwise a great place for a slice or two.,2 years ago,4
Ben Kim,Good pizza; tables; chairs; bathroom; take out box was very sturdy,a month ago,4
Kinbo Lee,My wife and I walked by on our way to Zabar's from visiting the American Museum of Natural History and thought we'd drop in as we had heard of this place as a stop on some pizza tours (which we decided to forego in our trip planning). We …,a year ago,4
Heinrich Kreuser,Fantastic pizzas. Wow. Never had such a good margarita in my life.,5 months ago,5
Roger Lam Chop,My favorite neighborhood pizza joint. Delicious while sober; divine while drunk. So many toppings to choose from; all ready-to-eat; and always reheated to a crisp. Bring cash for a discount!,2 years ago,5
Benjamin Wenisch,Had lunch at Made in New York Pizza and it didn't disappoint. Their authentic New York style pizza was a real treat to-go - truly tasty! A must-try spot for pizza enthusiasts. Solid 4 stars for this iconic slice of the city.,a year ago,5
Mike Loh,If you're a Teenage Mutant Ninja Turtle you'd wish you were human and come to this joint and pick up a few authentic New York style pizza pies .,7 months ago,5
Manuel M,Nasty & Rude Service for an +$100 order. Literally throws change and receipt across counter. If you don’t like your job; make a change. …,a month ago,
Stephanie B.,So many choices of delicious pizza by the slice (or order a whole pizza). Lots of vegetarian choices too. Friendly staff. Seating is casual with some shared tables. Good for a quick bite to eat.,10 months ago,5
Stéphane Marthe,Very good pizzas! Lot of choice and fair prices. Staff : cooks were nice but woman at the desk needs to learn how to smile and be friendly...,4 months ago,4
Beauty Connoisseur,For my wife and I; this is our fave neighborhood pizza; and fave in Manhattan. I've had Lombardi's; Joe's; Prince St.; Mama's Too and countless others in my life; but this is the place we call home. We love stopping in for a late night …,2 years ago,5
Brandon Facon,Busy and clean shop - quick service; great pizza! Margherita slice and veggie square were BOMB,7 months ago,5
Zane Hollingsworth,We stopped by on a cold evening to try a few slices while visiting the city. The pizza was great. I had two slices of pepperoni and sausage and my wife had a slice of sausage and mushroom and a slice of white pizza with ricotta and spinach. …,a year ago,5
Jessica,I was in Central Park; my friend said this was one of the two must places to go in this hood (I'm a downtown Manhattan girl) especially when it comes to my faves. The Spicy pepperoni Sicilian didn't disappoint but I am not a fan of the …,3 years ago,3
Rodrigo,Look no further; this is the best pizza of ny.,a month ago,5
Shakil Mirza,It’s an ok pizza for $5.50 a slice; the chicken (not pictured) is really flavourful. But two flaws; 1) too much crust and 2) too hard to chew for a thin crust. I prefer Joes Pizza.,a year ago,4
Leonardo Torres,The crust was firm and crunchy. The sauce and cheese were of good quality.  The spicy pepperoni was well seasoned and flavorful.  This pie may be more akin to a Detroit style but I can proudly state that it's "Made in New York.",3 years ago,5
johnathan viruet,Overpriced mid-tier pizza. Service was inconsistent; and I couldn't tell if I was hated or loved as a customer. Atmosphere: Meh; at best.,a month ago,3
Farouk Chemam,I had 3 pizza 🍕 slices. One that was white with cheese only and two with tomato and cheese aka Margherita. Unfortunately once I had the Margherita I tasted the tomato paste which is heavily used. Meaning that their tomato sauce (marinara) …,5 months ago,2
Jordan Van Maanen,I sometimes have to eat gluten free because of my wife. Unfortunately the GF crust just wasn’t that good. Not sure there is GF crust in NY that gets even close to the original crust. I didn’t try the regular pizza but it looked great!,4 months ago,3
Roy Treiyer,Good variety of pizza. I only had a plain slice. The crust was good; but the cheese wasn't the best (mainly the texture; probably due to the quantity). Customer service could have been friendlier. Service to us was good; but a customer was having trouble ordering and the person attending was visibly annoyed and impatient.,2 years ago,4
